xfold,architecture,fold_desc
3799,alpha bundles,SabA N-terminal extracellular adhesion domain
3900,a+b complex topology,Phospholipase effector Tle1 C-terminal domain
3828,a/b three-layered sandwiches,Flavivirus non-structural protein 1 (NS1) a/b domain
3829,beta meanders,Flavivirus non-structural protein 1 (NS1) beta-meander domain
3842,a+b two layers,Uncharacterized protein Rv3902c
3883,alpha bundles,CDP-alcohol phosphotransferase helical bundle domain
6167,a+b complex topology,Eukaryal tRNA restriction enzyme PaT
3854,alpha duplicates or obligate multimers,Spore germination protein GerD
3892,alpha bundles,Transhydrogeanse domain II
3833,alpha complex topology,TcA alpha-helical shell domain
3834,alpha bundles,TcA alpha pore-forming domain
3946,beta duplicates or obligate multimers,Pleurotolysin B C-terminal domain
3821,a+b complex topology,CRISPR-associated endonuclease Cas9 beta-hairpin domain
3856,beta sandwiches,Putative tailspike protein Orf210 N-terminal domain
3872,alpha arrays,Ribonuclease 3 N-terminal domain
3836,alpha complex topology,SidC N-terminal domain
3873,a+b two layers,Serine/threonine-protein kinase GCN2 C-terminal domain
3882,alpha bundles,Atg17
3921,alpha complex topology,Na(+)-translocating NADH-quinone reductase subunit D
6147,alpha arrays,C-terminal domain of Dbr1
7596,a/b three-layered sandwiches,GT-D type glycosyltransferase
3890,alpha bundles,Transmembrane Bax inhibitor motif (TMBIM) proteins
3940,a+b two layers,Spliceosomal helicase Aquarius insert domain
6165,beta sandwiches,Piezo CTL2 domain
3894,beta meanders,O-GlcNAc transferase GtfA beta-meander domain
6146,a+b two layers,Cas3 C-terminal domain
3896,alpha duplicates or obligate multimers,Intramembrane CDP-DAG synthetase-related
3884,a+b two layers,Immunity protein NMB0503
6154,a+b complex topology,C-terminal domain of Ebola nucleoprotein
3897,alpha bundles,Effector protein VipE
6155,alpha duplicates or obligate multimers,TOG superfamily
6166,alpha bundles,"N-terminal domain of Delta(14)-sterol reductase, MaSR1"
1032,alpha arrays,Toxin A (TcdA) helical domain
1033,beta duplicates or obligate multimers,Toxin A (TcdA) delivery domain
6157,alpha bundles,GKAP homology domain 1
3920,alpha bundles,Synaptonemal complex central element protein SYCE3
6156,a+b three layers,Sensor domain of histidine kinase VC_A0565
6163,alpha arrays,Uncharacterized protein lpg1960
6164,alpha bundles,Bestrophin
3933,a+b two layers,Uncharacterized protein YPO2434
3932,alpha bundles,CRISPR/Cas system-associated protein Csm6 6H domain
3925,a+b two layers,hypothetical protein BPSL2088
3926,alpha bundles,V-type proton ATPase subunit D
3950,alpha complex topology,Bacterial vitamin C transporter UlaA/SgaT
3908,extended segments,Adhesin P1 N-terminal domain
4290,alpha duplicates or obligate multimers,HP0242-like
3903,alpha duplicates or obligate multimers,Reticulocyte binding protein 5
3936,a+b complex topology,Herpesvirus UL21 N-terminal domain
3904,few secondary structure elements,con-ikot-ikot toxin
3996,alpha complex topology,Vesicular stomatitis virus L polymerase C-terminal domain
3991,alpha bundles,Rabin8 C-terminal domain
3451,extended segments,Suppressor protein STM1
6170,alpha bundles,Kv7 proximal C-terminal Domain
6042,beta duplicates or obligate multimers,N-terminal domain of HCV E1
3961,a+b two layers,Csm1 ferredoxin-like domain
3923,alpha bundles,Mitotic chromosome determinant-related protein N-terminal domain
1088,beta duplicates or obligate multimers,Long tail fiber protein gp34 C-terminal domain
3929,alpha bundles,THO1 C-terminal domain
3912,extended segments,Intraflagellar transport protein 46 C-terminal domain
3913,extended segments,Intraflagellar transport protein 52 C-terminal domain
1011,alpha complex topology,Monotreme lactating protein
3905,extended segments,Mitoribosomal protein mL42
3906,extended segments,Mitoribosomal protein mL52
3907,extended segments,Mitoribosomal protein mL63
838,a+b two layers,Ribosomal protein S19
3167,a+b two layers,40S ribosomal protein rpS21 (S21e)
3166,alpha arrays,60S ribosomal protein rpL36 (L36e)
3319,extended segments,C-terminal helical region in 60S ribosomal protein L4 (L4p)
3209,a+b two layers,RPL28
3212,extended segments,RPL29
3210,extended segments,RPL13
3591,extended segments,Helical linker in baseplate protein ORF48
3934,a+b complex topology,Late protein H7
3927,few secondary structure elements,Late competence protein ComFB
3909,alpha bundles,NisB C-terminal helical domain
3910,extended segments,Exosome complex exonuclease RRP6 N-terminal domain
3911,extended segments,Exosome complex protein LRP1
6168,alpha duplicates or obligate multimers,Immediate-early 1 protein
3914,alpha bundles,TMEM16 lipid scramblase transmembrane domain
3915,a+b two layers,a+b domain in PB2
3917,a+b complex topology,Middle domain in PB2
3916,alpha arrays,Helical domain in PB2
1025,alpha bundles,Stonustoxin helical domain
3948,alpha bundles,V(D)J recombination-activating protein 1 helical bundle domain
3957,a+b two layers,EKC/KEOPS complex subunit GON7
3954,alpha arrays,Phosphodiesterase 4 upstream conserved regions (UCR)
1096,alpha arrays,Zinc transporter ZIP4 N-terminal domain
3994,a+b two layers,C-P lyase subunit PhnG
3993,few secondary structure elements,C-P lyase subunit PhnJ C-terminal Zn-binding domain
3965,alpha arrays,Origin recognition complex subunit 3 helical insert domain
3981,alpha bundles,Mitochondrial distribution and morphology protein 35
3976,a+b duplicates or obligate multimers,GnsA
1015,alpha complex topology,Insulin-induced gene (Insig) homologs
1044,alpha bundles,Phage G20C small terminase C-terminal domain
1095,extended segments,Copper resistance protein ScsC N-terminal region
1005,alpha arrays,Cell-shape determining Csd6 N-terminal dimerization domain
3985,alpha bundles,CFEM domain (contains eight cysteines)
1050,alpha arrays,BID domain of Bartonella effector protein (Bep)
3978,alpha complex topology,Integral membrane Acyl-CoA desaturase
1059,a+b two layers,Omega-3 polyunsaturated fatty acid synthase subunit PfaD N-terminal domain
3977,alpha duplicates or obligate multimers,ICP27 homology domain
1010,alpha arrays,AvrRxo1-ORF2
3987,a+b complex topology,Type III R-M system modification subunit target recognition domain
3988,a/b three-layered sandwiches,Type III R-M system modification subunit C-terminal domain
3997,alpha arrays,Helical insertion domain in magnesium chelatase catalytic subunit
1009,alpha duplicates or obligate multimers,Taz1 dimerization domain
3989,alpha arrays,SidC C-terminal domain
3984,beta sandwiches,Herpesvirus nuclear egress complex subunit M50 N-terminal domain
3995,alpha bundles,Vesicular stomatitis virus L polymerase connector domain
1002,alpha complex topology,Fluoride ion channel
1017,a+b two layers,Rrs1
1028,extended segments,Nicastrin transmembrane helix
3945,alpha superhelices,N-terminal fragment of dynein heavy chain
1030,alpha duplicates or obligate multimers,Crispr-associated protein Csm2
1003,a+b complex topology,CRISPR-associated endonuclease Cas9 wedge domain
1110,beta sandwiches,Flagellar hook subunit protein FlgE beta sandwich domain
1037,alpha bundles,Prolipoprotein diacylglyceryl transferase
1063,alpha complex topology,Tegument protein U14
1069,alpha arrays,CRISPR-associated endonuclease Cpf1 PI (PAM-interacting) domain
1068,few secondary structure elements,CRISPR-associated endonuclease Cpf1 nuclease domain
1070,alpha complex topology,CRISPR-associated endonuclease first helical domain
1071,alpha complex topology,CRISPR-associated endonuclease Cpf1 second helical domain
3975,a+b two layers,uncharacterized protein lpg1496 N-terminal domain
1004,extended segments,RNA polymerase sigma-54 factor N-terminal region
3990,few secondary structure elements,Zinc finger domain in TOPLESS related protein 2 (TPR2)
7599,a/b three-layered sandwiches,UPF0246 protein YaaA
3228,a+b two layers,Baseplate structural protein gp6 C-terminal domain III
1094,a/b three-layered sandwiches,Polycomb protein Eed insertion domain
1020,extended segments,Ezh2 N-terminal domain
1019,few secondary structure elements,Ezh2 MCSS domain
1041,alpha bundles,PGL dimerization domain
1007,alpha arrays,SopD C-terminal domain
1006,alpha bundles,RavZ C-terminal domain
1013,beta duplicates or obligate multimers,WD repeat-containing protein 48 ancillary domain
1008,alpha bundles,BRCC36 C-terminal helical domain
4208,alpha arrays,Monopolin complex subunit MAM1
1082,alpha bundles,Glycogen debranching enzyme (GDE) middle domain 2
1081,alpha arrays,Glycogen debranching enzyme (GDE) insertion domain
1060,alpha duplicates or obligate multimers,STPRs (score and three amino acid peptide repeats)
1066,alpha bundles,Anti-repressor protein
1100,beta meanders,TIP41-like protein
1029,extended segments,Pre-mRNA-splicing helicase BRR2 NC-clamp
1104,a+b complex topology,Helicase Cch N-terminal domain
1046,alpha bundles,Lipoprotein signal peptidase
1108,alpha complex topology,Zuotin homology domain (ZHD)
1078,extended segments,Bd-type quinol oxidase transmembrane helix subunit
1024,alpha bundles,CdiI immunity protein
1022,alpha arrays,4Fe-4S binding domain in Dna2
1064,alpha complex topology,Tegument protein UL21
1087,alpha duplicates or obligate multimers,N-terminal domain of Phi ETA orf 56-like protein
1111,alpha complex topology,Trimeric intracellular cation (TRIC) channel
1026,alpha bundles,Rev protein
1121,alpha superhelices,Hypothetical protein SF216
1133,beta sandwiches,Immunomodulator A46 N-terminal domain
7508,a/b three-layered sandwiches,O-glucosyltransferase rumi N-terminal domain
1031,a+b complex topology,Rifampin phosphotransferase RPH-Lm middle domain
1151,alpha bundles,Helical membrane domain in lipooligosaccharide phosphoethanolamine transferase A
1119,a+b complex topology,6-carboxyhexanoate-CoA ligase
1023,beta barrels,Cell division protein ZapC N-terminal domain
1099,a+b two layers,RNase inhibitor Dip
1080,beta barrels,Hantavirus structural glycoprotein Gn ectodomain subdomain III
1038,alpha complex topology,Pre-mRNA-splicing factor 8 N-terminal domain
1039,extended segments,Pre-mRNA-processing factor 31 C-terminal region
1040,extended segments,U4/U6 small nuclear ribonucleoprotein PRP3 N-terminal region
1106,alpha arrays,RDS3 complex subunit 10
1150,few secondary structure elements,"Rattusin, a novel defensin with intermolecular disulfides"
1191,alpha duplicates or obligate multimers,UPF0253 protein YaeP
1118,a+b complex topology,Anchorless fibronectin/fibrinogen binding protein C-terminal domain
1036,a+b two layers,60S ribosomal export protein NMD3 a+b domain
1180,alpha bundles,Flagellar biosynthetic protein FliP periplasmic domain
6172,extended segments,Transmembrane helix of sigma-1 receptor
1047,a+b complex topology,Baseplate wedge protein gp7 domain II
1048,extended segments,Baseplate wedge protein gp7 domain VI
1049,alpha duplicates or obligate multimers,Baseplate wedge protein gp7 helical domain-like
3941,beta sandwiches,Baseplate structural protein gp6 C-terminal domain II
1160,beta duplicates or obligate multimers,Endoglin orphan region (OR) domain
1073,alpha arrays,Mitochondrial calcium uniporter (MCU)
1065,alpha bundles,SPX domain
1062,a+b three layers,Cryptic loci regulator 2 N-terminal domain
1090,alpha arrays,Oxalate biosynthetic component 1 (Obc1) cap domain
1097,alpha bundles,C-terminal subgroup One Signature (COS) domain
1152,a+b three layers,a+b domain in conserved hypothetical protein Rv3899c
1153,alpha superhelices,Helical domain in conserved hypothetical protein Rv3899c
1120,alpha bundles,KSHV ORF49 protein
1077,few secondary structure elements,RelA zinc-finger domain
1167,beta sandwiches,Ice-binding adhesin
1115,alpha arrays,Csd1/Csd2 helical domain
1156,alpha complex topology,EcoR124I HsdR C-terminal domain
3271,alpha arrays,CdiA C-terminal nuclease domain
1086,beta meanders,C-terminal beta-hairpin in astrotactin-2
1148,a+b two layers,Cell wall binding protein cwp8 domain 2
3992,few secondary structure elements,Excalibur domain of choline binding protein L
1117,alpha arrays,Enhancer of polycomb-like protein 1 (Epl1) N-terminal domain
1208,a+b two layers,Hypothetical protein RPA3313
1147,alpha bundles,RNA polymerase II elongation factor ELL2 C-terminal domain
3747,a+b two layers,Flagellar hook protein FlgE D0 domain
3468,a+b two layers,HLTF protein HIRAN domain
1159,alpha arrays,Melanoregulin
1142,alpha arrays,Immunomodulating metalloprotease IMPa helical domain
7603,a/b three-layered sandwiches,Immunomodulating metalloprotease IMPa N-terminal domain
1154,beta duplicates or obligate multimers,VirG insertion domain (VID)
3106,alpha bundles,A hypothetical protein from Vibrio cholerae
1169,a+b complex topology,Procyclic specific surface antigen-2
1101,alpha bundles,Uncharacterized protein LPG2271
3734,beta barrels,P22 coat protein insertion domain
1144,beta sandwiches,Apc (acetophenone carboxylase) beta subunit C-terminal domain
7604,a/b three-layered sandwiches,a/b domain in Acetophenone carboxylase (Apc) alpha subunit
1143,beta sandwiches,beta sandwich domain in acetophenone carboxylase (Apc) alpha subunit
1107,alpha bundles,Pilin
1135,a+b complex topology,Immune Mapped Protein 2 (IMP2)
1128,alpha bundles,LYR protein
1129,a+b three layers,"Mitochondrial complex I, B17.2 subunit"
1122,extended segments,"Mitochondrial complex I, B9 subunit"
1131,extended segments,"Mitochondrial complex I, B14.5b subunit"
1132,extended segments,"Mitochondrial complex I, B16.6 subunit"
1123,extended segments,"Mitochondrial complex I, AGGG subunit"
1127,extended segments,"Mitochondrial complex I, SGDH subunit"
1124,extended segments,"Mitochondrial complex I, KFYI subunit"
1125,extended segments,"Mitochondrial complex I, MNLL subunit"
1126,extended segments,"Mitochondrial complex I, MWFE subunit"
1130,alpha bundles,"Mitochondrial complex I, PDSW subunit"
3161,alpha duplicates or obligate multimers,LOB domain
1155,few secondary structure elements,Shisa 3 N-terminal domain
1190,a+b two layers,Curli production assembly/transport component CsgF
3575,a+b complex topology,Nigritoxin N-terminal domain
1196,a+b complex topology,Nigritoxin C-terminal domain
1157,a+b two layers,Seb1 domain 2
4189,alpha arrays,ICP4 DNA-binding domain
1166,alpha arrays,Potassium-transporting ATPase KdpC subunit
1201,alpha superhelices,Peptide N-methyltransferase C-terminal helical domain
1175,alpha complex topology,Apolipoprotein N-acyltransferase transmembrane domain
1193,alpha arrays,Neutral trehalase N-terminal domain
1176,alpha arrays,Nitrogenase vanadium-iron protein delta chain
1177,few secondary structure elements,lybatide 2
3466,alpha arrays,Phospholipid translocation channel MlaA
1181,few secondary structure elements,EMI domain
1182,alpha arrays,Cas5fv helical domain
1204,alpha bundles,Bacteriocin pyocin-S2 N-terminal domain
5088,alpha superhelices,RidL repeats
1183,alpha complex topology,Rift Valley fever virus non-structural protein NS-S
7036,beta barrels,N-terminal domain of TAP-binding protein-related
7043,alpha arrays,Assembly domain of GTP-binding protein
1103,mixed a+b and a/b,uncharacterized protein LPG2148 insertion domain
1105,alpha complex topology,Retinol uptake receptor STRA6
3971,alpha arrays,Uncharacterized protein aq_1974
1116,a+b two layers,Polycystin-mucolipin domain
1205,a+b two layers,C-terminal domain of CdiA toxin
1136,a+b complex topology,ssRNA bacteriophage MS2 maturation protein
1139,beta barrels,secretin domain
174,few secondary structure elements,Tetraspanin transmembrane domain
1113,alpha arrays,Protein of Unknown Function YPO2564
1188,alpha bundles,ZIP zinc transporter
1140,alpha duplicates or obligate multimers,Traversal protein CelTOS
7006,extended segments,mitochondrial aminolevulinate synthase C-terminal domain
1141,alpha arrays,Glycosyl transferase TarS linker domain
5012,alpha complex topology,CRISPR-associated endonuclease C2c1 second helical domain
1146,few secondary structure elements,CRISPR-associated endonuclease C2c1 C-terminal domain
4352,alpha superhelices,Effector protein SidK
565,alpha arrays,"Orange carotenoid protein, N-terminal domain"
1179,alpha complex topology,TelC toxin domain
3779,a+b two layers,OxsB N-terminal domain
1161,alpha duplicates or obligate multimers,IreB
1178,alpha arrays,Staphylococcal peroxidase inhibitor
7002,alpha duplicates or obligate multimers,TM trimerization region of envelope glycoprotein B
1198,alpha bundles,BTA121
1186,few secondary structure elements,Avirulence protein AvrP123
1158,a+b complex topology,Arenavirus glycoprotein GP2
1171,alpha arrays,beta-herpesvirus envelope glycoprotein L (gL) N-terminal domain
1173,beta barrels,UL128 C-terminal domain
1172,beta barrels,UL131A-like
1174,alpha complex topology,Potassium channel TMEM175
7017,beta meanders,beta-taco fold of TamB
3804,alpha bundles,CRISPR-Cas system RNase C2c2 N-terminal domain
4974,alpha bundles,CRISPR-Cas system first helical domain
1149,alpha bundles,CRISPR-Cas system second helical domain
7030,alpha superhelices,N-terminal domain of P-granule protein
7012,a+b complex topology,Monotopic phosphoglycosyl transferase (PGT)-like
7057,alpha duplicates or obligate multimers,N-terminal head domain of protein delta
7058,beta duplicates or obligate multimers,beta-fiber domain of protein delta
7007,extended segments,TOR1 N-terminal extended segment
1184,alpha arrays,Primosome protein DnaB middle domain
1168,alpha bundles,MERS-CoV helicase helical bundle domain
1165,alpha complex topology,DotM cytosolic domain
1164,a+b two layers,Hypothetical virulence protein
1163,alpha arrays,IcmS
1162,alpha arrays,IcmW
7018,few secondary structure elements,gp76 helical domain
1197,alpha bundles,Integral membrane glycerol 3-phosphate acyltransferase PlsY
1195,a+b complex topology,Suppressor of hydroxyurea sensitivity protein 2
1187,beta complex topology,Phlebovirus glycoprotein Gn
7005,a+b duplicates or obligate multimers,LUBAC-tethering domain
7003,a+b complex topology,N-terminal domain of the pestivirus NS5B protein
3157,alpha arrays,Kinetoplastid membrane protein 11
7031,a+b complex topology,extracellular domain of BK channel beta4 subunit
1206,alpha bundles,Effector SdeA helical domain
7013,alpha bundles,Ribosome assembly factor Efg1-like
7079,a+b complex topology,Phage tail fiber assembly protein
7044,alpha bundles,N-terminal domain of Small RNA Degrading Nuclease (SDN)
7041,alpha arrays,N-terminal domain of N-acetylglucosaminyltransferase-V
7042,a+b three layers,C-terminal domain of N-acetylglucosaminyltransferase-V
7048,a+b complex topology,head domain of ScoMcrA
7049,alpha complex topology,sulfur-binding domain (SBD) of ScoMcrA
7053,a+b complex topology,oligomerization domain of PprA
7052,a+b two layers,N-terminal domain of PprA
7085,alpha arrays,Twin-arginine translocation pathway signal
7097,a+b two layers,Uncharacterized protein MXAN_0049
7088,alpha arrays,GPI-anchored protein
7082,alpha arrays,N-terminal domain of viral protein A26
7083,beta sandwiches,C-terminal domain of viral protein A26
7033,a+b complex topology,Ribonuclease P protein subunit p40
7010,alpha arrays,Activation-binding domain of RNA polymerase II mediator
1185,a+b two layers,A hypothetical protein from Neisseria gonorrhoeae
7019,alpha duplicates or obligate multimers,anti-CRISPR protein AcrE1
7011,alpha bundles,RodA transmembrane domain
7004,alpha duplicates or obligate multimers,split helical dimerization (SHED) domain
7020,few secondary structure elements,Influenza A M2 transmembrane domain
7015,alpha bundles,Palmitoyltransferase DHHC transmembrane domain
7016,extended segments,Palmitoyltransferase DHHC C-terminal domain
7021,alpha bundles,viral membrane assembly protein A6 homolog
7023,alpha bundles,helical ridge domain of D-alanyl transfer protein
7022,alpha bundles,central core domain of D-alanyl transfer protein
7024,a+b duplicates or obligate multimers,"Dimerization domain of lysinoalanine synthase, DurN"
7001,alpha complex topology,palm insertion domain of RNAP2
7046,a+b complex topology,RNAi suppressor protein CrPV-1A
7025,alpha bundles,LIN9-LIN52 heterodimer
7014,alpha bundles,Undecaprenyl pyrophosphate phosphatase (UppP) transmembrane domain
7034,alpha arrays,Protein A6 N-terminal domain
7026,beta meanders,N-terminal region of lipid transporter Vps13
7050,few secondary structure elements,Npl4 zinc binding domain
7051,alpha arrays,C-terminal domain of Npl4
1202,few secondary structure elements,barrettide A
7008,alpha arrays,N-terminal domain of hexon-associated protein (IIIa)
7032,a+b two layers,Paratox
7089,a+b two layers,"Methane monooxygenase hydroxylase, MmoD"
7075,a+b two layers,uncharacterized protein SAMEA2273162_06031
7059,a+b complex topology,SatS C-terminal domain
7062,alpha bundles,Helical domain of retinal degeneration 3 protein
7066,alpha complex topology,First helical domain of Cas13b
7067,a+b complex topology,Lid domain of Cas13b
7068,alpha bundles,Second helical domain of Cas13b
7054,beta sandwiches,Mucin-like region of HAP2
7055,beta complex topology,Domain II of HAP2
7086,beta barrels,CRISPR-Cas effector Cas13d N-terminal domain
7063,a/b three-layered sandwiches,C-terminal domain of poxin
7035,beta barrels,Cuben fold of PcncAAAD
7045,a+b complex topology,C-terminal domain of RNA helicase HrpB
1200,alpha bundles,Type IX secretion system component GldM helical domain
7028,alpha arrays,attachment domain of fiber adhesin
1207,a+b two layers,MTHFR SAM-binding regulatory domain
7072,beta sandwiches,N-terminal half of TgpA periplasmic domain
7076,alpha bundles,Mto2 twin-cysteine dimerization domain
7040,a+b two layers,EcoKMcrA modification binding domain
7107,few secondary structure elements,"AapA1 toxin, transmembrane helix"
7037,few secondary structure elements,Cys-rich region of amnionless (AMN) extracellular domain
7103,alpha arrays,"MJ1004, C-terminal domain"
7069,alpha complex topology,Head domain of SBV glycoprotein Gc
7108,alpha complex topology,"Stl repressor, middle domain"
7071,alpha arrays,C-terminal domain of USP25
7104,beta sandwiches,putative carbohydrate-binding module of GH2
7093,alpha arrays,Insertion domain of glycoside hydrolase family 149 (GH149)
7047,alpha complex topology,uncharacterized domain of PaTox
7101,extended segments,Prp8-binding region of SLU7
7100,extended segments,Notch transmembrane helix
7060,alpha arrays,ELMO domain
7039,a+b complex topology,Helical domain of PCIF1/CAPAM
7064,alpha bundles,Transmembrane domain of VIT1
7065,alpha arrays,Cytoplasmic metal binding domain of VIT1
7091,a+b complex topology,C-terminal domain of DNA repair helicase RadD
7092,a+b two layers,N-terminal domain of vibrio phospholipase
7112,alpha arrays,DdrO C-terminal domain
7094,alpha bundles,Paddle domain of mitochondrial dynamin
7109,alpha arrays,"AnkH, cap domain"
7113,alpha bundles,"LegK7, C-terminal domain"
7056,few secondary structure elements,Zinc binding domain of metalloprotease Spartan
7038,few secondary structure elements,Zinc-binding domain of DENR
7061,few secondary structure elements,VWF C8-3 module
7105,alpha arrays,Helical domain in class 2 OLD protein
7074,extended segments,C-terminal portion of ANKRD31
7110,alpha arrays,Helical insertion of YcjX stress protein
7095,alpha arrays,C-terminal domain of DEAH helicase DHX37
7080,beta sandwiches,SARAF luminal domain
7506,a/b three-layered sandwiches,N-terminal domain of GerK3 germinant receptor
7087,alpha bundles,Emopamil binding protein (EBP) transmembrane domain
7077,a+b complex topology,N-terminal domain of SidJ
7078,alpha superhelices,C-terminal domain of SidJ
7096,a+b two layers,Insertion domain of carboxypeptidase dacD
7081,a+b two layers,Transactivation domain (TAD) of FoxM1
7106,few secondary structure elements,Conotoxin phi-MiXXVIIA
7099,a+b complex topology,VP5 N-terminal domain
7084,few secondary structure elements,Highly disulfide-linked beta sandwich region of p43
7111,alpha bundles,"Ubiquinol-cytochrome C chaperone, C-terminal domain"
